trajectory,controller,coverage_percent,affected_zone_recall,false_alarm_rate_per_m2,mean_latency_s,median_latency_s,max_latency_s,missed_zones,mean_inference_time_ms,p95_inference_time_ms
lawnmower,PID,100.0,1.0,0.136666666666667,104.658144446878,106.805150421683,117.926077988677,0,82.1731700803213,94.956
lawnmower,LQR,56.375,0.5,0.146666666666667,102.473306230507,101.329286910251,137.412122696485,1,84.3533461847389,104.1207
lawnmower,Hinf,62.4166666666667,0.5,0.104583333333333,91.052920484219,90.8863638227541,131.754052192409,1,82.1986429718875,100.0666
lawnmower,MPC,88.2083333333333,1.0,0.0825,96.5925378196543,101.010918984635,139.698322630198,0,81.2189506024096,97.1819
lawnmower,SMC,100.0,1.0,0.1225,101.859732477522,87.0039478676179,139.146830240125,0,81.151834939759,92.6789
circular,PID,81.0,1.0,0.06125,94.9072954012406,106.370578524235,109.291952218872,0,82.7205383534137,94.0658
circular,LQR,32.0833333333333,1.0,0.279583333333333,145.947029843031,150.487532909133,157.725246296132,0,88.6796861445783,111.4977
circular,Hinf,54.3333333333333,1.0,0.337083333333333,125.887050750752,127.06795878476,138.282285433487,0,82.7590550200803,105.8398
circular,MPC,99.5416666666667,1.0,0.1575,98.3524676855097,101.765704039233,109.179107934342,0,82.5420419678715,95.7681
circular,SMC,76.5833333333333,1.0,0.0729166666666667,105.904673145936,103.095223012875,122.051328812953,0,81.5656479919678,92.3736
