controller,trajectory,mean_coverage,std_coverage,mean_recall,std_recall,mean_latency_s,std_latency_s,mean_false_alarm,std_false_alarm
PID,agricultural,100,0,1,0,68.2270843133087,0.858636170936765,0.137375,0.0015093586652108
LQR,agricultural,55.4875,3.96464165942577,0.55,0.158113883008419,69.818641373568,8.30381189968329,0.077875,0.0282920791711596
Hinf,agricultural,62.4166666666667,0.456857894538848,0.5,0,70.7762857264515,6.35534886092226,0.125166666666667,0.0380739006877447
MPC,agricultural,86.625,1.00385061108848,1,0,68.3841508894853,3.40473113874339,0.07775,0.00394405318873308
SMC,agricultural,100,0,1,0,66.0049589924789,0.269341478091406,0.1265,0.00372263679283354
PID,circular,81.7916666666667,0.509932215296828,1,0,70.5011860810023,4.83962512128532,0.0700833333333333,0.00199149425877055
LQR,circular,31.175,10.6591734386425,0.2,0.349602949390051,90.1350355992847,8.13277684255848,0.0560416666666667,0.0669027215532714
Hinf,circular,33.8791666666667,17.6814169075339,0.75,0.353553390593274,83.5351985189247,11.890574474726,0.189291666666667,0.165810654740004
MPC,circular,90.8958333333333,6.88032201415882,0.9,0.210818510677892,80.0391093156763,28.181164472556,0.0884166666666667,0.024224706804275
SMC,circular,70.3375,1.31386980253931,1,0,62.30637426646,2.79130371368375,0.078875,0.00424940990819916
